Abnormality of limbs,HP:0040064
Growth abnormality,HP:0001507
Asymmetric growth,HP:0100555
Abnormality of body height,HP:0000002
Abnormal upper to lower segment ratio,HP:0012772
Abnormality of the brainstem white matter,HP:0012501
Abnormal shape of brain,HP:0012443
Short nasal bridge,HP:0003194
Palate fistula,HP:0010294
Hand tremor,HP:0002378
Abnormal venous morphology,HP:0002624
Structural foot deformity,HP:0010219
Tall stature,HP:0000098
Renal cyst,HP:0000107
Cranial asymmetry,HP:0000267
Abnormality of the face,HP:0000271
